sale_id,date_id,product_id,cc_id,channel,units_sold,revenue,discount_pct,cost_of_goods,gross_margin
116,2024-01-21,4,12,OEM,140,7892.28,0.143,5888.4,2003.88
117,2024-01-22,2,7,Distributor,5,874.88,0.147,631.9,242.98
118,2024-01-22,5,7,Direct,175,53923.44,0.123,31790.5,22132.94
119,2024-01-22,3,2,OEM,191,89733.21,0.024,46986.0,42747.21
120,2024-01-22,2,7,Distributor,17,3225.67,0.075,2148.46,1077.21
121,2024-01-22,4,2,OEM,148,8450.36,0.132,6224.88,2225.48
122,2024-01-22,1,12,Distributor,185,23600.5,0.071,11753.05,11847.45
123,2024-01-22,2,7,Distributor,71,13937.97,0.043,8972.98,4964.99
124,2024-01-22,5,12,Direct,145,46819.14,0.081,26340.7,20478.44
125,2024-01-23,5,12,Direct,146,49501.7,0.035,26522.36,22979.34
126,2024-01-23,3,12,OEM,187,86053.69,0.044,46002.0,40051.69
127,2024-01-23,4,2,OEM,193,11984.59,0.056,8117.58,3867.01
128,2024-01-23,1,7,Distributor,24,3233.06,0.019,1524.72,1708.34
129,2024-01-23,3,7,OEM,107,48827.23,0.052,26322.0,22505.23
130,2024-01-23,4,2,OEM,10,603.2,0.083,420.6,182.6
131,2024-01-24,5,12,Direct,65,21947.08,0.039,11807.9,10139.18
132,2024-01-24,5,2,Direct,159,55864.65,0.0,28883.94,26980.71
133,2024-01-24,5,7,Direct,88,29743.89,0.038,15986.08,13757.81
134,2024-01-24,4,12,OEM,56,3230.59,0.123,2355.36,875.23
135,2024-01-25,2,7,Distributor,51,9802.55,0.063,6445.38,3357.17
136,2024-01-25,3,12,OEM,145,62049.71,0.111,35670.0,26379.71
137,2024-01-25,4,12,OEM,29,1709.23,0.104,1219.74,489.49
138,2024-01-25,3,12,OEM,114,53777.54,0.02,28044.0,25733.54
139,2024-01-25,1,7,Distributor,101,12732.04,0.082,6416.53,6315.51
140,2024-01-26,4,2,OEM,48,2964.84,0.061,2018.88,945.96
141,2024-01-26,1,12,Distributor,102,13530.41,0.034,6480.06,7050.35
142,2024-01-26,2,7,Distributor,54,9969.32,0.1,6824.52,3144.8
143,2024-01-26,2,2,Distributor,79,15767.73,0.027,9984.02,5783.71
144,2024-01-27,1,2,Distributor,5,587.04,0.145,317.65,269.39
145,2024-01-27,3,7,OEM,112,47820.23,0.113,27552.0,20268.23
146,2024-01-27,5,12,Direct,70,21077.49,0.143,12716.2,8361.29
147,2024-01-27,5,2,Direct,115,37334.45,0.076,20890.9,16443.55
148,2024-01-27,5,7,Direct,63,22002.24,0.006,11444.58,10557.66
149,2024-01-27,5,2,Direct,151,48066.79,0.094,27430.66,20636.13
150,2024-01-27,2,2,Distributor,61,11799.69,0.057,7709.18,4090.51
151,2024-01-28,3,7,OEM,74,32236.68,0.095,18204.0,14032.68
152,2024-01-28,1,7,Distributor,51,6814.23,0.027,3240.03,3574.2
153,2024-01-28,3,7,OEM,87,41250.15,0.015,21402.0,19848.15
154,2024-01-29,4,7,OEM,85,5183.14,0.073,3575.1,1608.04
155,2024-01-29,4,2,OEM,116,7325.26,0.04,4878.96,2446.3
156,2024-01-29,5,2,Direct,75,25718.82,0.024,13624.5,12094.32
157,2024-01-29,1,2,Distributor,9,1119.71,0.094,571.77,547.94
158,2024-01-29,1,7,Distributor,37,4984.3,0.019,2350.61,2633.69
159,2024-01-29,5,2,Direct,58,18014.42,0.116,10536.28,7478.14
160,2024-01-29,5,7,Direct,57,18845.36,0.059,10354.62,8490.74
161,2024-01-30,5,7,Direct,146,46885.55,0.086,26522.36,20363.19
162,2024-01-30,1,12,Distributor,73,8961.78,0.106,4637.69,4324.09
163,2024-01-30,5,2,Direct,82,27600.65,0.042,14896.12,12704.53
164,2024-01-30,3,2,OEM,110,49931.47,0.057,27060.0,22871.47
165,2024-01-30,4,7,OEM,98,5995.19,0.07,4121.88,1873.31
166,2024-01-30,2,12,Distributor,109,19385.4,0.133,13775.42,5609.98
167,2024-01-30,5,2,Direct,84,25558.6,0.134,15259.44,10299.16
168,2024-01-30,5,12,Direct,7,2363.53,0.039,1271.62,1091.91
169,2024-01-31,3,2,OEM,43,19187.49,0.073,10578.0,8609.49
170,2024-01-31,2,7,Distributor,98,19962.02,0.007,12385.24,7576.78
171,2024-01-31,3,7,OEM,184,86090.27,0.028,45264.0,40826.27
172,2024-01-31,2,12,Distributor,140,27454.6,0.044,17693.2,9761.4
173,2024-01-31,4,7,OEM,49,3120.08,0.032,2060.94,1059.14
174,2024-02-01,2,12,Distributor,136,27256.03,0.023,17187.68,10068.35
175,2024-02-01,5,7,Direct,172,59888.31,0.009,31245.52,28642.79
176,2024-02-01,1,2,Distributor,86,10345.14,0.124,5463.58,4881.56
177,2024-02-01,5,12,Direct,102,33651.6,0.061,18529.32,15122.28
178,2024-02-02,5,7,Direct,67,22386.97,0.049,12171.22,10215.75
179,2024-02-02,5,7,Direct,181,54945.52,0.136,32880.46,22065.06
180,2024-02-02,1,2,Distributor,154,20195.65,0.045,9783.62,10412.03
181,2024-02-02,3,12,OEM,83,38554.53,0.035,20418.0,18136.53
182,2024-02-02,5,7,Direct,120,39252.82,0.069,21799.2,17453.62
183,2024-02-02,5,7,Direct,169,57359.29,0.034,30700.54,26658.75
184,2024-02-02,1,12,Distributor,98,13080.55,0.028,6225.94,6854.61
185,2024-02-02,4,2,OEM,61,3418.72,0.148,2565.66,853.06
186,2024-02-03,1,7,Distributor,40,4773.24,0.131,2541.2,2232.04
187,2024-02-03,4,7,OEM,41,2305.92,0.145,1724.46,581.46
188,2024-02-03,4,2,OEM,21,1250.15,0.095,883.26,366.89
189,2024-02-03,3,12,OEM,107,46921.53,0.089,26322.0,20599.53
190,2024-02-03,3,7,OEM,184,78916.08,0.109,45264.0,33652.08
191,2024-02-03,2,7,Distributor,129,25562.07,0.034,16303.02,9259.05
192,2024-02-03,3,2,OEM,125,53491.13,0.111,30750.0,22741.13
193,2024-02-03,2,2,Distributor,178,35125.64,0.038,22495.64,12630.0
194,2024-02-04,4,7,OEM,159,8973.84,0.142,6687.54,2286.3
195,2024-02-04,1,2,Distributor,114,14464.74,0.076,7242.42,7222.32
196,2024-02-04,2,7,Distributor,42,8555.15,0.007,5307.96,3247.19
197,2024-02-05,1,12,Distributor,47,6241.06,0.033,2985.91,3255.15
198,2024-02-05,5,2,Direct,140,46040.9,0.064,25432.4,20608.5
199,2024-02-05,2,2,Distributor,133,25045.14,0.082,16808.54,8236.6
200,2024-02-05,5,2,Direct,20,6626.46,0.057,3633.2,2993.26
201,2024-02-06,4,12,OEM,65,4126.05,0.035,2733.9,1392.15
202,2024-02-06,3,2,OEM,102,45219.92,0.079,25092.0,20127.92
203,2024-02-06,3,12,OEM,55,26315.95,0.006,13530.0,12785.95
204,2024-02-06,2,12,Distributor,71,14389.46,0.012,8972.98,5416.48
205,2024-02-06,5,7,Direct,85,27654.76,0.074,15441.1,12213.66
206,2024-02-07,4,7,OEM,5,319.03,0.03,210.3,108.73
207,2024-02-07,4,7,OEM,87,5671.35,0.009,3659.22,2012.13
208,2024-02-07,5,12,Direct,29,8670.97,0.149,5268.14,3402.83
209,2024-02-07,5,12,Direct,120,40053.9,0.05,21799.2,18254.7
210,2024-02-08,3,12,OEM,84,36229.08,0.104,20664.0,15565.08
211,2024-02-08,5,2,Direct,79,25730.41,0.073,14351.14,11379.27
212,2024-02-08,4,2,OEM,156,10189.85,0.007,6561.36,3628.49
213,2024-02-08,3,12,OEM,116,52934.2,0.052,28536.0,24398.2
214,2024-02-08,5,7,Direct,50,16531.02,0.059,9083.0,7448.02
215,2024-02-09,5,2,Direct,76,25901.52,0.03,13806.16,12095.36
216,2024-02-09,3,2,OEM,12,5371.98,0.07,2952.0,2419.98
217,2024-02-09,4,7,OEM,105,6506.3,0.058,4416.3,2090.0
218,2024-02-09,2,2,Distributor,62,12679.91,0.003,7835.56,4844.35
219,2024-02-09,4,12,OEM,6,388.37,0.016,252.36,136.01
220,2024-02-10,4,7,OEM,130,8303.41,0.029,5467.8,2835.61
221,2024-02-10,5,12,Direct,76,26115.14,0.022,13806.16,12308.98
222,2024-02-10,2,7,Distributor,131,24695.4,0.081,16555.78,8139.62
223,2024-02-10,2,2,Distributor,103,19353.61,0.084,13017.14,6336.47
224,2024-02-10,2,12,Distributor,10,1829.76,0.108,1263.8,565.96
225,2024-02-11,3,7,OEM,175,81710.86,0.03,43050.0,38660.86
226,2024-02-11,1,2,Distributor,148,18087.79,0.11,9402.44,8685.35
227,2024-02-11,5,2,Direct,156,52618.18,0.04,28338.96,24279.22
228,2024-02-11,5,2,Direct,8,2732.1,0.028,1453.28,1278.82
229,2024-02-11,3,2,OEM,186,87294.64,0.025,45756.0,41538.64
230,2024-02-11,1,2,Distributor,90,10702.72,0.134,5717.7,4985.02
231,2024-02-11,3,2,OEM,87,37858.0,0.096,21402.0,16456.0
232,2024-02-11,5,7,Direct,180,54958.17,0.131,32698.8,22259.37
233,2024-02-12,5,2,Direct,23,7854.78,0.028,4178.18,3676.6
234,2024-02-12,4,7,OEM,81,4939.22,0.073,3406.86,1532.36
235,2024-02-12,5,12,Direct,70,22823.7,0.072,12716.2,10107.5
236,2024-02-12,5,7,Direct,172,57833.62,0.043,31245.52,26588.1
237,2024-02-12,4,12,OEM,184,11449.93,0.054,7739.04,3710.89
238,2024-02-13,2,12,Distributor,173,32542.03,0.083,21863.74,10678.29
239,2024-02-13,3,7,OEM,48,21557.23,0.067,11808.0,9749.23
240,2024-02-13,5,2,Direct,102,33723.28,0.059,18529.32,15193.96
241,2024-02-14,3,12,OEM,170,73648.08,0.1,41820.0,31828.08
242,2024-02-14,1,2,Distributor,166,20447.22,0.103,10545.98,9901.24
243,2024-02-14,2,12,Distributor,26,4538.71,0.149,3285.88,1252.83
244,2024-02-14,3,12,OEM,133,55314.04,0.136,32718.0,22596.04
245,2024-02-14,1,7,Distributor,28,3391.25,0.118,1778.84,1612.41
246,2024-02-15,4,12,OEM,117,7065.17,0.082,4921.02,2144.15
247,2024-02-15,4,2,OEM,9,551.76,0.068,378.54,173.22
248,2024-02-15,1,12,Distributor,11,1424.42,0.057,698.83,725.59
249,2024-02-15,5,7,Direct,63,21404.59,0.033,11444.58,9960.01
250,2024-02-15,5,2,Direct,82,25958.44,0.099,14896.12,11062.32
251,2024-02-15,2,7,Distributor,173,30164.37,0.15,21863.74,8300.63
252,2024-02-15,5,7,Direct,56,16763.61,0.148,10172.96,6590.65
253,2024-02-15,2,7,Distributor,192,38912.34,0.012,24264.96,14647.38
254,2024-02-16,3,2,OEM,70,33257.16,0.013,17220.0,16037.16
255,2024-02-16,4,7,OEM,157,10069.27,0.025,6603.42,3465.85
256,2024-02-16,3,12,OEM,165,71005.41,0.106,40590.0,30415.41
257,2024-02-16,2,2,Distributor,151,27164.75,0.123,19083.38,8081.37
258,2024-02-16,2,2,Distributor,116,20439.97,0.141,14660.08,5779.89
259,2024-02-17,3,12,OEM,137,64627.39,0.02,33702.0,30925.39
260,2024-02-17,2,12,Distributor,133,26818.49,0.017,16808.54,10009.95
261,2024-02-17,3,7,OEM,157,73381.89,0.029,38622.0,34759.89
262,2024-02-17,5,12,Direct,93,31009.1,0.051,16894.38,14114.72
263,2024-02-17,5,2,Direct,137,43273.32,0.101,24887.42,18385.9
264,2024-02-17,3,2,OEM,196,91421.82,0.031,48216.0,43205.82
265,2024-02-18,5,7,Direct,170,58714.1,0.017,30882.2,27831.9
266,2024-02-18,2,2,Distributor,49,8955.77,0.109,6192.62,2763.15
267,2024-02-18,3,12,OEM,163,75872.44,0.033,40098.0,35774.44
268,2024-02-18,3,12,OEM,115,53086.79,0.041,28290.0,24796.79
269,2024-02-18,1,2,Distributor,97,12454.24,0.065,6162.41,6291.83
270,2024-02-18,1,7,Distributor,27,3266.43,0.119,1715.31,1551.12
271,2024-02-18,1,7,Distributor,148,17457.77,0.141,9402.44,8055.33
272,2024-02-18,4,12,OEM,153,9460.48,0.06,6435.18,3025.3
273,2024-02-19,1,12,Distributor,72,9264.16,0.063,4574.16,4690.0
274,2024-02-19,5,7,Direct,189,59764.64,0.1,34333.74,25430.9
275,2024-02-19,2,12,Distributor,156,30112.26,0.059,19715.28,10396.98
276,2024-02-19,1,12,Distributor,36,4849.59,0.019,2287.08,2562.51
277,2024-02-19,1,12,Distributor,115,14717.96,0.068,7305.95,7412.01
278,2024-02-19,2,12,Distributor,160,30457.7,0.072,20220.8,10236.9
279,2024-02-20,4,2,OEM,127,7234.62,0.134,5341.62,1893.0
280,2024-02-20,4,2,OEM,127,8103.44,0.03,5341.62,2761.82
281,2024-02-20,1,7,Distributor,12,1519.31,0.078,762.36,756.95
282,2024-02-20,1,12,Distributor,132,18017.48,0.006,8385.96,9631.52
283,2024-02-21,1,7,Distributor,108,12709.79,0.143,6861.24,5848.55
284,2024-02-21,3,12,OEM,25,10854.67,0.098,6150.0,4704.67
285,2024-02-21,4,2,OEM,12,678.06,0.141,504.72,173.34
286,2024-02-21,2,7,Distributor,168,29878.42,0.133,21231.84,8646.58
287,2024-02-21,5,12,Direct,135,41787.81,0.119,24524.1,17263.71
288,2024-02-22,2,12,Distributor,156,29920.26,0.065,19715.28,10204.98
289,2024-02-22,5,2,Direct,180,55653.84,0.12,32698.8,22955.04
290,2024-02-22,1,2,Distributor,128,16135.65,0.082,8131.84,8003.81
291,2024-02-22,2,12,Distributor,67,12891.6,0.062,8467.46,4424.14
292,2024-02-23,4,12,OEM,184,11897.76,0.017,7739.04,4158.72
293,2024-02-23,2,12,Distributor,7,1263.6,0.12,884.66,378.94
294,2024-02-23,4,12,OEM,97,5838.3,0.085,4079.82,1758.48
295,2024-02-23,1,12,Distributor,54,7237.31,0.024,3430.62,3806.69
296,2024-02-23,3,2,OEM,145,61630.93,0.117,35670.0,25960.93
297,2024-02-23,5,7,Direct,63,19545.25,0.117,11444.58,8100.67
298,2024-02-23,5,7,Direct,181,57680.08,0.093,32880.46,24799.62
299,2024-02-24,4,12,OEM,77,4442.06,0.123,3238.62,1203.44
300,2024-02-24,1,2,Distributor,164,19592.82,0.13,10418.92,9173.9
301,2024-02-24,2,12,Distributor,52,10272.09,0.037,6571.76,3700.33
302,2024-02-25,1,7,Distributor,82,10888.65,0.033,5209.46,5679.19
303,2024-02-25,1,2,Distributor,121,16300.02,0.019,7687.13,8612.89
304,2024-02-25,5,2,Direct,58,19094.47,0.063,10536.28,8558.19
305,2024-02-25,4,12,OEM,139,8338.8,0.088,5846.34,2492.46
306,2024-02-26,4,12,OEM,91,5596.89,0.065,3827.46,1769.43
307,2024-02-26,3,12,OEM,52,24455.01,0.023,12792.0,11663.01
308,2024-02-26,1,7,Distributor,49,6621.02,0.016,3112.97,3508.05
309,2024-02-26,2,7,Distributor,191,37573.46,0.041,24138.58,13434.88
310,2024-02-26,1,2,Distributor,70,8180.15,0.149,4447.1,3733.05
311,2024-02-27,1,2,Distributor,117,15841.51,0.014,7433.01,8408.5
312,2024-02-27,2,12,Distributor,188,34013.84,0.118,23759.44,10254.4
313,2024-02-27,1,7,Distributor,54,6955.53,0.062,3430.62,3524.91
314,2024-02-27,4,2,OEM,117,6603.39,0.142,4921.02,1682.37
315,2024-02-27,1,12,Distributor,64,7549.3,0.141,4065.92,3483.38
316,2024-02-27,2,12,Distributor,172,32212.79,0.087,21737.36,10475.43
317,2024-02-28,5,7,Direct,166,49633.81,0.149,30155.56,19478.25
318,2024-02-28,3,12,OEM,79,34338.78,0.097,19434.0,14904.78
319,2024-02-28,4,12,OEM,104,6683.77,0.023,4374.24,2309.53
320,2024-02-29,3,2,OEM,87,38360.54,0.084,21402.0,16958.54
321,2024-02-29,1,12,Distributor,118,15620.42,0.036,7496.54,8123.88
322,2024-02-29,4,7,OEM,105,6824.02,0.012,4416.3,2407.72
323,2024-02-29,5,12,Direct,120,37482.02,0.111,21799.2,15682.82
324,2024-03-01,1,12,Distributor,127,15625.92,0.104,8068.31,7557.61
325,2024-03-01,5,12,Direct,179,62199.84,0.011,32517.14,29682.7
326,2024-03-01,1,7,Distributor,96,12787.24,0.03,6098.88,6688.36
327,2024-03-01,1,2,Distributor,95,11910.45,0.087,6035.35,5875.1
328,2024-03-01,4,2,OEM,107,6130.5,0.129,4500.42,1630.08
329,2024-03-02,3,12,OEM,12,5216.02,0.097,2952.0,2264.02
330,2024-03-02,1,12,Distributor,34,4230.01,0.094,2160.02,2069.99
331,2024-03-02,5,2,Direct,198,59827.88,0.14,35968.68,23859.2
332,2024-03-02,3,2,OEM,168,76582.45,0.053,41328.0,35254.45
333,2024-03-03,5,7,Direct,104,36101.92,0.012,18892.64,17209.28
334,2024-03-03,5,2,Direct,192,60510.9,0.103,34878.72,25632.18
335,2024-03-03,3,2,OEM,77,33543.57,0.095,18942.0,14601.57
336,2024-03-04,2,12,Distributor,178,32679.26,0.105,22495.64,10183.62
337,2024-03-04,1,7,Distributor,6,786.84,0.045,381.18,405.66
338,2024-03-04,3,2,OEM,27,11164.18,0.141,6642.0,4522.18
339,2024-03-04,3,2,OEM,37,17667.84,0.008,9102.0,8565.84
340,2024-03-04,4,2,OEM,113,6333.04,0.148,4752.78,1580.26
341,2024-03-04,2,2,Distributor,101,19682.22,0.05,12764.38,6917.84
342,2024-03-04,3,2,OEM,115,50651.11,0.085,28290.0,22361.11
343,2024-03-05,2,2,Distributor,119,23043.48,0.056,15039.22,8004.26
344,2024-03-05,3,2,OEM,87,39700.65,0.052,21402.0,18298.65
345,2024-03-05,2,7,Distributor,191,35105.13,0.104,24138.58,10966.55
346,2024-03-05,2,12,Distributor,194,38999.32,0.02,24517.72,14481.6
347,2024-03-05,3,2,OEM,88,38081.35,0.101,21648.0,16433.35
348,2024-03-05,5,12,Direct,15,4669.44,0.114,2724.9,1944.54
349,2024-03-05,4,2,OEM,146,9123.69,0.05,6140.76,2982.93
350,2024-03-05,1,2,Distributor,129,17129.71,0.033,8195.37,8934.34
351,2024-03-06,5,7,Direct,9,2855.42,0.097,1634.94,1220.48
352,2024-03-06,1,12,Distributor,6,710.22,0.138,381.18,329.04
353,2024-03-06,3,2,OEM,7,2985.39,0.114,1722.0,1263.39
354,2024-03-06,3,2,OEM,183,77253.95,0.123,45018.0,32235.95
355,2024-03-06,1,12,Distributor,57,7725.49,0.013,3621.21,4104.28
356,2024-03-06,3,7,OEM,8,3669.89,0.047,1968.0,1701.89
357,2024-03-06,1,12,Distributor,98,12434.6,0.076,6225.94,6208.66
358,2024-03-07,2,12,Distributor,42,8210.53,0.047,5307.96,2902.57
359,2024-03-07,3,7,OEM,185,83085.14,0.067,45510.0,37575.14
360,2024-03-07,1,2,Distributor,149,18741.98,0.084,9465.97,9276.01
361,2024-03-07,1,7,Distributor,186,22374.37,0.124,11816.58,10557.79
362,2024-03-08,3,7,OEM,12,5475.95,0.052,2952.0,2523.95
363,2024-03-08,2,12,Distributor,97,17111.94,0.14,12258.86,4853.08
