production_id,date_id,machine_id,shift_id,product_id,units_produced,units_defect,downtime_mins,cost_actual,capacity_available
188,2024-01-09,6,6,5,1135,14,61,194812.84,1432
189,2024-01-09,7,5,3,993,22,28,259287.48,1544
190,2024-01-09,7,6,5,1286,66,3,238707.32,1544
191,2024-01-09,8,4,3,518,11,97,122559.86,848
192,2024-01-09,8,5,1,567,6,84,35306.73,848
193,2024-01-09,9,7,1,259,10,48,16190.45,408
194,2024-01-09,9,8,3,293,7,120,73052.4,408
195,2024-01-09,10,9,1,770,40,62,49965.69,1096
196,2024-01-10,1,1,2,397,3,55,46268.31,448
197,2024-01-10,1,2,5,351,18,5,60198.56,448
198,2024-01-10,1,3,1,270,6,27,18070.27,448
199,2024-01-10,2,1,3,649,0,95,157439.76,896
200,2024-01-10,2,3,2,707,47,103,86744.61,896
201,2024-01-10,3,1,1,465,17,9,31680.9,608
202,2024-01-10,3,2,5,458,23,37,76796.74,608
203,2024-01-10,4,1,5,979,54,46,163195.32,1264
204,2024-01-10,4,2,2,967,30,10,119661.8,1264
205,2024-01-10,4,3,3,864,53,9,212989.63,1264
206,2024-01-10,5,5,3,428,32,82,111921.92,584
207,2024-01-10,6,6,1,955,59,63,60233.75,1432
208,2024-01-10,7,4,5,1189,87,72,222170.81,1544
209,2024-01-10,7,5,3,1433,71,19,348271.06,1544
210,2024-01-10,7,6,3,1393,65,45,343180.84,1544
211,2024-01-10,8,4,4,520,15,36,20019.72,848
212,2024-01-10,8,5,1,706,28,59,45572.77,848
213,2024-01-10,8,6,1,653,42,83,38898.41,848
214,2024-01-10,9,7,5,268,1,13,51712.76,408
215,2024-01-10,9,8,1,323,4,31,21372.28,408
216,2024-01-10,9,9,5,325,4,47,63974.46,408
217,2024-01-10,10,7,3,940,3,80,238052.58,1096
218,2024-01-11,1,1,3,311,21,116,78077.45,448
219,2024-01-11,2,1,3,643,33,84,154760.03,896
220,2024-01-11,2,2,1,643,19,101,39448.45,896
221,2024-01-11,3,1,5,386,20,65,68183.02,608
222,2024-01-11,3,2,2,584,15,98,73603.26,608
223,2024-01-11,4,3,1,1002,43,94,68541.88,1264
224,2024-01-11,5,5,5,379,11,20,64454.44,584
225,2024-01-11,5,6,5,529,7,56,87328.08,584
226,2024-01-11,6,4,2,1386,67,96,183869.54,1432
227,2024-01-11,6,5,5,989,76,100,178548.4,1432
228,2024-01-11,6,6,3,1228,56,56,299772.8,1432
229,2024-01-11,7,5,5,1172,15,25,225733.47,1544
230,2024-01-11,8,5,3,687,5,108,169539.74,848
231,2024-01-11,9,9,5,267,9,116,45806.81,408
232,2024-01-11,10,7,3,1045,34,50,257173.19,1096
233,2024-01-11,10,9,3,751,19,12,197278.29,1096
234,2024-01-12,1,1,2,292,6,106,36699.66,448
235,2024-01-12,1,2,4,345,0,10,13114.78,448
236,2024-01-12,2,2,5,717,6,36,123415.74,896
237,2024-01-12,3,2,5,470,4,115,85377.28,608
238,2024-01-12,3,3,5,497,28,37,89007.29,608
239,2024-01-12,4,1,2,1032,15,85,119614.97,1264
240,2024-01-12,4,2,1,1216,52,100,84797.44,1264
241,2024-01-12,4,3,4,1177,4,49,54267.35,1264
242,2024-01-12,5,6,3,403,21,13,104521.22,584
243,2024-01-12,6,4,3,931,26,43,243386.34,1432
244,2024-01-12,6,6,4,1392,53,23,62195.0,1432
245,2024-01-12,7,5,4,948,15,101,37476.28,1544
246,2024-01-12,8,4,5,637,41,60,110008.24,848
247,2024-01-12,8,5,2,600,41,6,81375.55,848
248,2024-01-12,8,6,1,766,26,51,51032.04,848
249,2024-01-12,9,7,4,297,4,88,12485.63,408
250,2024-01-12,9,8,5,286,1,54,47579.41,408
251,2024-01-12,9,9,2,329,8,10,40148.04,408
252,2024-01-12,10,8,4,727,25,57,27778.88,1096
253,2024-01-12,10,9,3,913,31,81,246160.63,1096
254,2024-01-13,1,1,1,383,12,65,25797.24,448
255,2024-01-13,1,2,1,293,14,100,18384.12,448
256,2024-01-13,2,2,3,667,30,77,152709.09,896
257,2024-01-13,2,3,3,664,40,73,151507.93,896
258,2024-01-13,3,1,3,514,10,14,114454.92,608
259,2024-01-13,3,3,5,392,24,90,70445.53,608
260,2024-01-13,4,1,3,1091,87,25,248130.23,1264
261,2024-01-13,4,2,4,841,47,11,37569.18,1264
262,2024-01-13,4,3,3,1079,61,70,267672.74,1264
263,2024-01-13,5,4,2,508,37,81,60016.3,584
264,2024-01-13,5,5,2,377,6,17,45136.61,584
265,2024-01-13,5,6,3,473,13,102,127598.46,584
266,2024-01-13,6,5,1,1027,82,92,64966.91,1432
267,2024-01-13,6,6,4,1307,7,40,56537.36,1432
268,2024-01-13,7,4,5,1128,79,99,207015.02,1544
269,2024-01-13,7,5,2,1180,85,7,159012.36,1544
270,2024-01-13,7,6,3,1023,26,90,237840.48,1544
271,2024-01-13,8,4,5,797,53,32,135988.95,848
272,2024-01-13,8,5,3,549,13,68,124072.18,848
273,2024-01-13,8,6,5,812,10,84,151180.25,848
274,2024-01-13,9,7,3,375,16,105,98961.76,408
275,2024-01-13,9,9,5,285,4,73,50909.39,408
276,2024-01-13,10,7,4,1027,44,82,47140.68,1096
277,2024-01-13,10,8,4,781,4,7,30602.53,1096
278,2024-01-13,10,9,4,742,36,40,33464.8,1096
279,2024-01-14,1,1,3,434,4,47,107083.87,448
280,2024-01-14,2,2,2,570,13,49,77283.23,896
281,2024-01-14,2,3,2,814,60,92,99019.99,896
282,2024-01-14,3,1,4,594,22,112,24026.97,608
283,2024-01-14,3,3,5,470,9,74,82868.23,608
284,2024-01-14,4,2,4,895,0,13,37123.67,1264
285,2024-01-14,4,3,3,1125,32,51,251906.58,1264
286,2024-01-14,5,4,3,473,2,64,115202.67,584
287,2024-01-14,5,5,5,501,4,12,89080.46,584
288,2024-01-14,5,6,3,474,13,18,109585.79,584
289,2024-01-14,6,4,5,881,2,91,154698.34,1432
290,2024-01-14,6,5,4,940,67,17,38176.08,1432
291,2024-01-14,6,6,2,1073,52,107,130160.74,1432
292,2024-01-14,7,4,5,1238,70,38,223765.77,1544
293,2024-01-14,7,6,1,1501,70,101,102963.7,1544
294,2024-01-14,8,4,1,701,14,83,47054.33,848
295,2024-01-14,8,5,5,582,2,61,98759.02,848
296,2024-01-14,8,6,5,758,23,105,142675.44,848
297,2024-01-14,9,8,1,274,9,53,16193.7,408
298,2024-01-14,9,9,4,322,15,60,14553.16,408
299,2024-01-14,10,7,1,951,39,71,58303.03,1096
300,2024-01-14,10,8,5,814,62,58,160059.5,1096
301,2024-01-14,10,9,3,939,65,87,237614.71,1096
302,2024-01-15,1,1,5,351,26,35,64503.41,448
303,2024-01-15,1,3,3,400,22,88,102434.17,448
304,2024-01-15,2,1,3,728,54,92,170973.79,896
305,2024-01-15,2,3,4,842,26,44,38634.47,896
306,2024-01-15,3,1,3,374,28,10,89176.97,608
307,2024-01-15,3,2,3,537,9,105,133121.24,608
308,2024-01-15,3,3,3,396,19,75,92336.38,608
309,2024-01-15,4,2,2,1064,4,52,129904.29,1264
310,2024-01-15,4,3,2,760,33,118,89477.93,1264
311,2024-01-15,5,4,4,456,7,36,18493.38,584
312,2024-01-15,5,5,1,495,9,94,32850.64,584
313,2024-01-15,5,6,2,443,29,119,60685.1,584
314,2024-01-15,6,4,4,1287,19,95,59134.37,1432
315,2024-01-15,6,5,1,864,39,13,59593.49,1432
316,2024-01-15,6,6,4,1397,60,63,63332.23,1432
317,2024-01-15,7,5,3,1039,9,20,267408.54,1544
318,2024-01-15,7,6,2,934,25,37,119639.08,1544
319,2024-01-15,8,4,2,705,36,51,94924.72,848
320,2024-01-15,8,5,1,637,4,17,40286.13,848
321,2024-01-15,8,6,1,592,11,96,35857.1,848
322,2024-01-15,9,7,5,356,0,83,62854.38,408
323,2024-01-15,9,9,4,292,9,64,13320.8,408
324,2024-01-15,10,7,3,945,48,120,222940.48,1096
325,2024-01-15,10,8,2,1056,40,58,140069.68,1096
326,2024-01-15,10,9,4,949,69,96,40214.44,1096
327,2024-01-16,1,1,2,398,21,76,54052.92,448
328,2024-01-16,1,3,3,282,12,7,73933.54,448
329,2024-01-16,2,1,2,732,8,41,99068.87,896
330,2024-01-16,2,2,2,781,30,115,98907.6,896
331,2024-01-16,2,3,4,582,19,72,22313.69,896
332,2024-01-16,3,1,3,531,16,104,117642.18,608
333,2024-01-16,4,1,1,1018,4,114,59098.93,1264
334,2024-01-16,4,2,1,896,12,17,59949.22,1264
335,2024-01-16,4,3,4,938,66,57,42368.75,1264
336,2024-01-16,5,4,4,368,28,111,15599.74,584
337,2024-01-16,5,5,3,376,29,50,93029.56,584
338,2024-01-16,5,6,2,535,32,38,67113.01,584
339,2024-01-16,6,4,4,1148,75,31,47904.64,1432
340,2024-01-16,7,4,1,945,49,78,63230.4,1544
341,2024-01-16,7,5,1,1067,5,76,61463.06,1544
342,2024-01-16,7,6,1,1069,3,56,64305.18,1544
343,2024-01-16,8,5,1,553,43,29,37350.94,848
344,2024-01-16,8,6,3,694,42,104,164600.65,848
345,2024-01-16,9,7,2,397,16,52,48170.97,408
346,2024-01-16,9,9,2,341,11,63,39190.12,408
347,2024-01-16,10,7,4,984,25,53,40627.66,1096
348,2024-01-17,1,1,2,413,9,90,48482.33,448
349,2024-01-17,1,2,1,364,28,71,23263.63,448
350,2024-01-17,1,3,3,303,15,118,73789.44,448
351,2024-01-17,2,1,5,784,11,34,138922.66,896
352,2024-01-17,2,2,1,835,12,97,53976.77,896
353,2024-01-17,2,3,2,700,48,42,84983.77,896
354,2024-01-17,3,1,2,581,44,15,77052.29,608
355,2024-01-17,3,2,2,525,29,50,71858.19,608
356,2024-01-17,3,3,3,452,19,45,106931.62,608
357,2024-01-17,4,1,4,982,63,92,41050.89,1264
358,2024-01-17,4,2,2,936,30,72,126905.32,1264
359,2024-01-17,4,3,1,883,66,74,58565.39,1264
360,2024-01-17,6,4,2,1130,59,87,138169.93,1432
361,2024-01-17,6,5,4,1385,71,62,57796.73,1432
362,2024-01-17,6,6,3,951,54,62,219162.85,1432
363,2024-01-17,7,4,1,1233,82,9,85307.03,1544
364,2024-01-17,7,5,1,1168,78,29,67791.42,1544
365,2024-01-17,8,5,1,707,37,78,48623.51,848
366,2024-01-17,8,6,1,510,22,1,29268.66,848
367,2024-01-17,9,7,5,396,0,104,74784.05,408
368,2024-01-17,9,8,2,261,2,19,31276.34,408
369,2024-01-17,9,9,3,371,7,50,83581.75,408
370,2024-01-17,10,7,4,892,70,28,36016.63,1096
371,2024-01-17,10,8,1,929,63,97,53491.43,1096
372,2024-01-17,10,9,4,887,3,1,38820.74,1096
373,2024-01-18,1,2,3,365,25,12,96879.66,448
374,2024-01-18,1,3,2,304,21,113,38932.68,448
375,2024-01-18,2,2,3,843,38,4,194079.04,896
376,2024-01-18,2,3,1,864,40,96,58410.46,896
377,2024-01-18,3,1,1,433,19,72,29349.64,608
378,2024-01-18,3,2,5,441,26,17,84766.54,608
379,2024-01-18,3,3,1,480,37,6,28040.73,608
380,2024-01-18,4,3,5,1217,38,99,213403.28,1264
381,2024-01-18,5,4,4,459,13,120,18824.55,584
382,2024-01-18,5,6,4,369,18,102,14733.11,584
383,2024-01-18,6,6,2,1261,31,13,146345.7,1432
384,2024-01-18,7,4,4,1137,24,16,43874.95,1544
385,2024-01-18,7,5,5,1251,40,3,208604.29,1544
386,2024-01-18,7,6,5,1277,33,49,209354.39,1544
387,2024-01-18,8,4,1,742,33,31,47817.69,848
388,2024-01-18,8,6,2,595,12,18,68627.98,848
389,2024-01-18,9,7,4,291,18,46,11631.65,408
390,2024-01-18,9,9,5,340,12,17,59351.36,408
391,2024-01-18,10,7,3,1008,30,110,239514.36,1096
392,2024-01-18,10,8,5,714,18,88,121945.01,1096
393,2024-01-18,10,9,4,1061,24,88,45811.83,1096
394,2024-01-19,1,1,2,324,7,100,40070.32,448
395,2024-01-19,1,3,5,438,6,98,80364.33,448
396,2024-01-19,2,1,4,858,14,102,34581.41,896
397,2024-01-19,2,2,4,766,8,38,30555.65,896
398,2024-01-19,2,3,4,806,4,76,33759.57,896
399,2024-01-19,3,1,5,578,40,53,105916.02,608
400,2024-01-19,3,2,3,526,34,76,132972.0,608
401,2024-01-19,4,1,3,838,41,72,226086.97,1264
402,2024-01-19,4,2,4,1222,32,101,50682.44,1264
403,2024-01-19,5,5,5,474,26,28,85173.07,584
404,2024-01-19,5,6,5,503,6,3,91060.12,584
405,2024-01-19,6,5,1,922,69,18,56797.84,1432
406,2024-01-19,6,6,2,1142,31,12,142541.11,1432
407,2024-01-19,7,4,3,965,3,90,219115.02,1544
408,2024-01-19,7,5,1,1323,17,94,79745.36,1544
409,2024-01-19,8,5,4,583,18,23,22982.96,848
410,2024-01-19,8,6,4,518,25,25,21567.36,848
411,2024-01-19,9,7,1,354,5,96,23406.12,408
412,2024-01-19,9,8,5,260,18,23,45963.84,408
413,2024-01-19,10,8,4,877,44,76,36065.08,1096
414,2024-01-19,10,9,1,802,54,79,47614.05,1096
415,2024-01-20,1,1,3,425,20,86,96895.85,448
416,2024-01-20,1,3,2,332,3,49,41272.05,448
417,2024-01-20,2,2,2,703,30,117,91426.27,896
418,2024-01-20,2,3,5,594,13,23,103904.45,896
419,2024-01-20,3,1,1,564,42,62,33226.26,608
420,2024-01-20,3,2,5,481,19,87,87233.86,608
421,2024-01-20,3,3,4,477,3,3,21249.85,608
422,2024-01-20,5,5,5,515,31,70,93757.09,584
423,2024-01-20,5,6,3,522,34,46,129491.77,584
424,2024-01-20,6,4,4,1156,91,13,50916.18,1432
425,2024-01-20,6,5,2,1021,81,57,122913.0,1432
426,2024-01-20,6,6,1,1098,87,99,74107.16,1432
427,2024-01-20,7,5,3,1431,69,54,328509.37,1544
428,2024-01-20,9,7,3,337,4,90,79463.8,408
429,2024-01-20,9,8,5,397,21,12,66862.83,408
430,2024-01-20,9,9,4,387,30,110,16784.73,408
431,2024-01-20,10,7,2,761,43,106,91319.39,1096
432,2024-01-20,10,8,4,861,39,34,37139.37,1096
433,2024-01-20,10,9,1,921,64,11,57374.27,1096
434,2024-01-21,1,1,3,346,13,74,76646.5,448
435,2024-01-21,1,2,1,393,14,85,25952.44,448
436,2024-01-21,1,3,5,336,26,105,57520.17,448
437,2024-01-21,2,2,3,723,7,109,177336.45,896
438,2024-01-21,2,3,1,553,27,107,34848.09,896
439,2024-01-21,3,2,4,470,37,54,18591.27,608
440,2024-01-21,3,3,2,568,13,111,77996.38,608
441,2024-01-21,4,2,3,797,42,83,182946.44,1264
442,2024-01-21,4,3,3,1107,66,54,280790.41,1264
443,2024-01-21,5,4,1,397,2,75,23840.24,584
444,2024-01-21,5,5,1,352,9,15,24545.84,584
445,2024-01-21,5,6,2,456,8,11,60289.03,584
446,2024-01-21,6,5,3,933,57,96,246708.77,1432
447,2024-01-21,6,6,2,896,40,78,116634.03,1432
448,2024-01-21,7,4,2,1294,15,52,167332.23,1544
449,2024-01-21,7,5,2,977,7,96,114167.26,1544
450,2024-01-21,7,6,3,1491,37,17,348284.31,1544
451,2024-01-21,8,4,2,687,32,77,83088.29,848
452,2024-01-21,8,5,1,782,41,38,46753.74,848
453,2024-01-21,8,6,2,749,17,6,100031.47,848
454,2024-01-21,9,7,2,321,2,63,41688.32,408
455,2024-01-21,9,9,1,397,29,16,24650.59,408
456,2024-01-21,10,7,4,809,44,97,33829.29,1096
457,2024-01-21,10,8,1,664,3,33,39785.7,1096
458,2024-01-21,10,9,4,868,43,64,38458.41,1096
459,2024-01-22,1,1,4,282,12,78,11037.01,448
460,2024-01-22,2,1,2,720,22,81,95783.94,896
461,2024-01-22,2,2,1,643,22,108,38714.47,896
462,2024-01-22,3,1,1,469,22,39,30785.26,608
463,2024-01-22,3,2,2,392,22,89,44699.33,608
464,2024-01-22,3,3,3,485,30,92,113565.15,608
465,2024-01-22,4,1,3,1110,10,115,247357.2,1264
466,2024-01-22,4,2,3,1010,21,73,254797.36,1264
467,2024-01-22,4,3,5,931,37,72,157857.69,1264
468,2024-01-22,5,5,5,500,4,94,90990.31,584
469,2024-01-22,6,4,2,884,25,117,103901.42,1432
470,2024-01-22,6,5,1,1160,84,94,75989.7,1432
471,2024-01-22,7,5,3,1085,6,47,246592.86,1544
472,2024-01-22,7,6,1,1031,66,5,71447.82,1544
473,2024-01-22,8,5,3,758,18,11,188447.97,848
474,2024-01-22,9,8,3,359,6,47,89933.52,408
475,2024-01-22,9,9,2,358,15,101,42937.74,408
476,2024-01-22,10,8,2,883,44,88,120012.13,1096
477,2024-01-22,10,9,1,973,29,94,64623.74,1096
478,2024-01-23,1,2,2,340,26,18,44788.11,448
479,2024-01-23,2,1,5,678,48,58,134855.23,896
480,2024-01-23,3,2,1,501,2,84,34783.61,608
481,2024-01-23,4,2,4,1094,64,40,45578.88,1264
482,2024-01-23,5,4,2,523,24,19,60883.79,584
483,2024-01-23,5,5,3,440,18,98,101910.91,584
484,2024-01-23,5,6,3,539,3,103,137527.95,584
485,2024-01-23,6,4,5,881,58,41,148785.84,1432
