budget_id,date_id,cc_id,product_id,budget_revenue,budget_cost,forecast_revenue,forecast_cost,scenario
50,2024-01-01,10,5,42838.82,32484.6,47910.13,29069.14,Actual
51,2024-01-01,11,1,102525.41,69556.44,102000.19,62630.3,Actual
52,2024-01-01,11,2,121061.11,91478.44,107087.19,79376.4,Actual
53,2024-01-01,11,3,74996.28,40299.22,71035.78,43272.82,Actual
54,2024-01-01,11,4,127961.21,89556.53,134030.52,83647.25,Actual
55,2024-01-01,11,5,145035.86,101381.8,151957.09,113938.32,Actual
56,2024-01-01,12,1,101373.35,73305.95,106064.75,66561.12,Actual
57,2024-01-01,12,2,126913.5,79814.05,119520.71,89743.78,Actual
58,2024-01-01,12,3,92109.64,48999.31,94623.37,43391.67,Actual
59,2024-01-01,12,4,65422.57,34835.41,71845.62,33528.74,Actual
60,2024-01-01,12,5,147584.49,92635.59,135581.76,101202.82,Actual
61,2024-01-01,13,1,52657.86,39909.05,53965.39,43330.39,Actual
62,2024-01-01,13,2,21438.23,11473.72,19689.94,10319.49,Actual
63,2024-01-01,13,3,106816.79,69093.1,91203.42,73838.62,Actual
64,2024-01-01,13,4,113781.48,64251.62,125481.46,72912.99,Actual
65,2024-01-01,13,5,148749.53,106737.63,146368.73,99973.75,Actual
66,2024-01-01,14,1,58441.47,42832.51,61235.12,48207.64,Actual
67,2024-01-01,14,2,32738.55,24955.83,28040.8,23128.27,Actual
68,2024-01-01,14,3,89286.25,55884.53,92558.27,59927.8,Actual
69,2024-01-01,14,4,53461.5,30779.21,51637.06,27481.27,Actual
70,2024-01-01,14,5,23695.62,17883.53,26253.27,16308.51,Actual
71,2024-01-01,15,1,55061.42,42879.71,48242.08,48847.17,Actual
72,2024-01-01,15,2,46525.87,29885.17,47132.69,33416.04,Actual
73,2024-01-01,15,3,56155.27,37512.04,51813.51,35300.78,Actual
74,2024-01-01,15,4,34732.13,22669.57,34447.15,24200.94,Actual
75,2024-01-01,15,5,55848.91,35696.63,61232.42,32192.35,Actual
76,2024-02-01,1,1,110777.24,59077.03,126502.9,53391.7,Actual
77,2024-02-01,1,2,26296.78,17701.08,28055.4,18901.73,Actual
78,2024-02-01,1,3,35457.75,28284.23,33969.48,24684.63,Actual
79,2024-02-01,1,4,148745.76,110029.55,140126.01,103591.44,Actual
80,2024-02-01,1,5,28939.77,21279.65,27845.5,21478.56,Actual
81,2024-02-01,2,1,149994.38,82993.16,150431.45,84267.55,Actual
82,2024-02-01,2,2,81501.71,47088.0,69706.53,45765.59,Actual
83,2024-02-01,2,3,106751.67,64461.37,103289.86,62672.14,Actual
84,2024-02-01,2,4,128057.3,85146.41,120054.23,73044.63,Actual
85,2024-02-01,2,5,48499.5,24463.89,51086.01,22125.48,Actual
86,2024-02-01,3,1,72873.16,52804.83,83762.88,52888.52,Actual
87,2024-02-01,3,2,54083.22,43185.41,46930.42,48542.58,Actual
88,2024-02-01,3,3,46200.42,36427.25,40233.02,34943.27,Actual
89,2024-02-01,3,4,112189.21,60623.82,115570.3,63754.18,Actual
90,2024-02-01,3,5,56670.93,32647.65,50098.59,32235.64,Actual
91,2024-02-01,4,1,144183.13,83469.45,127348.52,87256.5,Actual
92,2024-02-01,4,2,85777.9,62091.28,87646.26,61672.49,Actual
93,2024-02-01,4,3,86719.83,44257.31,75114.98,42800.07,Actual
94,2024-02-01,4,4,43397.45,24920.41,47260.77,24746.06,Actual
95,2024-02-01,4,5,26561.46,16755.09,24587.69,15631.49,Actual
96,2024-02-01,5,1,75427.22,41100.29,77329.25,47015.89,Actual
97,2024-02-01,5,2,116361.32,68479.91,102971.06,71744.72,Actual
98,2024-02-01,5,3,40513.41,27236.62,44749.04,25218.79,Actual
99,2024-02-01,5,4,126585.76,68204.03,109240.77,64888.78,Actual
100,2024-02-01,5,5,147485.37,97409.77,135509.37,107618.82,Actual
101,2024-02-01,6,1,134192.2,79874.31,146043.81,81483.91,Actual
102,2024-02-01,6,2,141045.42,87795.32,143113.36,98551.29,Actual
103,2024-02-01,6,3,123627.64,69125.53,106416.72,58931.97,Actual
104,2024-02-01,6,4,126596.07,71800.38,145044.02,81890.27,Actual
105,2024-02-01,6,5,90392.82,63309.57,78331.35,58297.33,Actual
106,2024-02-01,7,1,46470.28,36384.32,39887.96,33297.26,Actual
107,2024-02-01,7,2,109093.52,68031.4,122857.04,66598.95,Actual
108,2024-02-01,7,3,38409.7,30707.35,39294.05,30093.13,Actual
109,2024-02-01,7,4,128440.52,70225.82,117154.33,78995.96,Actual
110,2024-02-01,7,5,144055.16,99039.13,143799.13,110207.83,Actual
111,2024-02-01,8,1,102747.8,67762.89,91308.69,72016.76,Actual
112,2024-02-01,8,2,130186.68,95662.76,130517.04,90743.76,Actual
113,2024-02-01,8,3,104774.17,64075.27,98964.76,62607.46,Actual
114,2024-02-01,8,4,88628.02,56535.89,101561.31,62826.87,Actual
115,2024-02-01,8,5,116601.61,63973.54,130309.88,64290.37,Actual
116,2024-02-01,9,1,23483.54,17227.69,25498.42,18803.43,Actual
117,2024-02-01,9,2,52817.23,38776.69,53213.18,44197.08,Actual
118,2024-02-01,9,3,79255.33,48608.34,85836.83,54505.62,Actual
119,2024-02-01,9,4,64125.89,41174.85,59185.21,36708.56,Actual
120,2024-02-01,9,5,55250.92,41897.04,54869.42,39190.33,Actual
121,2024-02-01,10,1,88389.01,55824.49,98262.76,60199.29,Actual
122,2024-02-01,10,2,106157.11,63051.43,104277.54,53953.37,Actual
123,2024-02-01,10,3,142660.44,92816.1,161594.94,104139.17,Actual
124,2024-02-01,10,4,91282.89,52984.96,83689.89,50040.14,Actual
125,2024-02-01,10,5,108535.32,82481.34,123255.57,72108.73,Actual
126,2024-02-01,11,1,70894.31,46183.0,68207.41,42034.82,Actual
127,2024-02-01,11,2,132089.24,103097.16,131305.38,91092.53,Actual
128,2024-02-01,11,3,82033.0,50541.68,79480.87,45529.43,Actual
129,2024-02-01,11,4,70360.06,46991.37,66363.67,40311.65,Actual
130,2024-02-01,11,5,130264.25,72019.22,148543.62,63142.8,Actual
131,2024-02-01,12,1,75653.09,45478.27,79472.51,44855.22,Actual
132,2024-02-01,12,2,108959.89,70127.15,96913.41,70027.19,Actual
133,2024-02-01,12,3,37352.5,22344.78,34686.35,25052.59,Actual
134,2024-02-01,12,4,121242.83,85932.16,108270.02,73669.09,Actual
135,2024-02-01,12,5,80788.69,50319.76,83484.89,46971.74,Actual
136,2024-02-01,13,1,79154.69,58884.33,71040.98,66139.57,Actual
137,2024-02-01,13,2,146148.28,91096.35,149868.56,90933.07,Actual
138,2024-02-01,13,3,42147.32,22708.01,43025.1,25115.65,Actual
139,2024-02-01,13,4,56840.04,37824.02,48375.3,37822.43,Actual
140,2024-02-01,13,5,65552.94,47624.84,69681.63,45682.17,Actual
141,2024-02-01,14,1,39549.75,28505.03,41936.41,24834.38,Actual
142,2024-02-01,14,2,75165.84,43506.2,83537.6,44028.53,Actual
143,2024-02-01,14,3,23033.62,11720.37,23248.03,13211.75,Actual
144,2024-02-01,14,4,98171.08,52630.92,95372.39,46266.24,Actual
145,2024-02-01,14,5,86229.95,59120.23,96457.55,51997.38,Actual
146,2024-02-01,15,1,93790.51,60912.56,94472.72,63465.75,Actual
147,2024-02-01,15,2,91519.23,51857.62,103517.6,54339.69,Actual
148,2024-02-01,15,3,22683.33,14050.72,23650.64,14521.3,Actual
149,2024-02-01,15,4,106611.23,84361.3,115334.35,90207.27,Actual
150,2024-02-01,15,5,46139.4,33339.26,45730.05,31366.23,Actual
151,2024-03-01,1,1,90336.67,64430.2,92190.62,56371.2,Actual
152,2024-03-01,1,2,140250.06,104490.23,138627.17,93575.08,Actual
153,2024-03-01,1,3,62211.48,36131.01,69593.3,35236.35,Actual
154,2024-03-01,1,4,22340.52,15643.54,25295.77,16964.79,Actual
155,2024-03-01,1,5,54479.78,42005.24,62485.59,43392.44,Actual
156,2024-03-01,2,1,48795.39,37868.36,49768.52,33002.65,Actual
157,2024-03-01,2,2,99019.8,58515.92,102482.4,50391.26,Actual
158,2024-03-01,2,3,23319.5,17037.03,26209.99,18097.22,Actual
159,2024-03-01,2,4,92627.36,68196.15,82139.28,64640.8,Actual
160,2024-03-01,2,5,106777.31,75351.78,109360.65,85592.64,Actual
161,2024-03-01,3,1,121448.58,97004.98,123781.9,99359.14,Actual
162,2024-03-01,3,2,44841.39,25081.45,42253.7,27852.09,Actual
163,2024-03-01,3,3,118554.63,65472.1,123477.51,69333.99,Actual
164,2024-03-01,3,4,129784.66,77656.52,136035.39,85822.39,Actual
165,2024-03-01,3,5,44214.95,31348.79,42871.88,32682.53,Actual
166,2024-03-01,4,1,118363.54,63886.24,131955.64,64580.05,Actual
167,2024-03-01,4,2,125717.26,89074.75,140515.75,100487.91,Actual
168,2024-03-01,4,3,75033.72,44806.01,83251.38,49719.77,Actual
169,2024-03-01,4,4,104247.32,72489.54,113995.62,63863.34,Actual
170,2024-03-01,4,5,65281.54,42525.94,73916.47,38145.31,Actual
171,2024-03-01,5,1,103389.3,75973.21,94949.06,72070.02,Actual
172,2024-03-01,5,2,30266.68,18863.88,29229.99,21002.12,Actual
173,2024-03-01,5,3,33386.7,21370.37,37152.26,20620.02,Actual
174,2024-03-01,5,4,117835.52,66380.73,127972.82,71895.63,Actual
175,2024-03-01,5,5,21350.49,15882.82,18929.03,13820.57,Actual
176,2024-03-01,6,1,27253.02,21402.1,28582.21,21728.82,Actual
177,2024-03-01,6,2,61879.58,40882.78,64100.61,43176.27,Actual
178,2024-03-01,6,3,79338.05,60686.31,79014.12,57628.69,Actual
179,2024-03-01,6,4,20893.24,11105.22,18243.19,9490.54,Actual
180,2024-03-01,6,5,68606.83,47636.96,59127.59,44780.0,Actual
181,2024-03-01,7,1,149658.87,82177.91,140266.91,94022.27,Actual
182,2024-03-01,7,2,80490.62,44030.27,88220.61,45935.29,Actual
183,2024-03-01,7,3,67797.95,42639.23,74299.11,45327.15,Actual
184,2024-03-01,7,4,82845.25,42952.2,72514.92,44800.18,Actual
185,2024-03-01,7,5,29886.21,15311.6,34278.43,15463.32,Actual
186,2024-03-01,8,1,139091.96,106628.99,129764.74,117035.74,Actual
187,2024-03-01,8,2,141262.75,71907.21,132631.76,77874.07,Actual
188,2024-03-01,8,3,71408.41,43519.45,61124.57,45431.81,Actual
189,2024-03-01,8,4,117276.05,90065.52,107352.99,77179.9,Actual
190,2024-03-01,8,5,28604.62,16023.86,31627.01,17876.14,Actual
191,2024-03-01,9,1,25344.49,17821.63,23792.85,19815.78,Actual
192,2024-03-01,9,2,110741.52,58221.38,123878.46,63011.27,Actual
193,2024-03-01,9,3,40038.75,21394.69,45196.47,19027.04,Actual
194,2024-03-01,9,4,55483.97,32627.47,53454.58,30588.91,Actual
195,2024-03-01,9,5,99665.59,74285.15,103732.06,76623.11,Actual
196,2024-03-01,10,1,104351.05,81191.53,107719.85,86578.24,Actual
197,2024-03-01,10,2,67089.27,35554.53,57275.37,33376.06,Actual
198,2024-03-01,10,3,56203.92,43226.21,64138.72,39191.9,Actual
199,2024-03-01,10,4,71157.25,37305.35,70477.29,41414.26,Actual
200,2024-03-01,10,5,88058.57,68240.8,87271.03,78055.26,Actual
201,2024-03-01,11,1,43665.08,21836.41,45722.76,24468.9,Actual
202,2024-03-01,11,2,116160.58,85722.89,120760.55,80339.73,Actual
203,2024-03-01,11,3,90208.84,54717.07,98562.62,48155.16,Actual
204,2024-03-01,11,4,70490.49,49852.02,62489.05,45690.2,Actual
205,2024-03-01,11,5,104276.19,66770.73,110250.04,68064.57,Actual
206,2024-03-01,12,1,87124.21,63587.82,87283.65,62936.78,Actual
207,2024-03-01,12,2,51494.69,28391.77,51657.26,30265.06,Actual
208,2024-03-01,12,3,73221.09,41290.61,72461.71,35813.86,Actual
209,2024-03-01,12,4,24133.59,13472.02,27696.04,11931.19,Actual
210,2024-03-01,12,5,137149.0,74032.67,133928.22,81869.3,Actual
211,2024-03-01,13,1,138095.59,106506.25,135870.21,118998.54,Actual
212,2024-03-01,13,2,50913.82,27428.91,58010.01,26202.02,Actual
213,2024-03-01,13,3,88165.27,63350.38,79037.62,54043.39,Actual
214,2024-03-01,13,4,64921.94,44545.01,64251.59,41959.83,Actual
215,2024-03-01,13,5,97071.07,66285.77,107267.26,62906.83,Actual
216,2024-03-01,14,1,25524.17,17033.95,25288.16,17729.28,Actual
217,2024-03-01,14,2,120669.1,92665.95,135824.05,103260.13,Actual
218,2024-03-01,14,3,97978.43,51640.77,101758.85,55508.55,Actual
219,2024-03-01,14,4,91984.5,69082.49,85195.41,62511.01,Actual
220,2024-03-01,14,5,128726.42,75061.5,127377.43,74765.89,Actual
221,2024-03-01,15,1,132872.45,70129.56,134104.34,76305.05,Actual
222,2024-03-01,15,2,96671.42,74550.24,90360.01,80987.12,Actual
223,2024-03-01,15,3,91070.02,46068.31,78099.5,46506.05,Actual
224,2024-03-01,15,4,119917.43,77304.2,106026.72,80027.68,Actual
225,2024-03-01,15,5,120385.07,81546.48,106158.42,70527.78,Actual
226,2024-04-01,1,1,96740.39,71178.16,93488.42,72779.62,Actual
227,2024-04-01,1,2,122998.57,74020.99,126020.52,81365.93,Actual
228,2024-04-01,1,3,62155.11,33530.55,69302.0,30206.95,Actual
229,2024-04-01,1,4,82850.03,59522.93,81192.45,56746.39,Actual
230,2024-04-01,1,5,42199.19,22125.74,38518.55,20378.66,Actual
231,2024-04-01,2,1,145963.24,94068.66,159684.99,90238.75,Actual
232,2024-04-01,2,2,36244.42,21392.81,41445.31,24424.58,Actual
233,2024-04-01,2,3,126547.18,86964.53,133926.89,90567.35,Actual
234,2024-04-01,2,4,146389.6,78563.73,151356.15,81722.14,Actual
235,2024-04-01,2,5,61220.19,46805.82,61181.34,46998.89,Actual
236,2024-04-01,3,1,141757.93,81619.89,136335.03,92153.21,Actual
237,2024-04-01,3,2,100203.19,73002.86,98868.64,79773.13,Actual
238,2024-04-01,3,3,79573.91,59745.61,79144.61,60134.1,Actual
239,2024-04-01,3,4,87583.28,59269.52,87523.64,61070.01,Actual
240,2024-04-01,3,5,36922.61,20568.56,31531.36,20030.91,Actual
241,2024-04-01,4,1,136021.81,104235.45,136229.5,95401.56,Actual
242,2024-04-01,4,2,52151.5,28909.26,49110.03,28442.15,Actual
243,2024-04-01,4,3,124172.22,88773.67,141628.32,95103.69,Actual
244,2024-04-01,4,4,142220.27,103880.69,156367.49,104943.46,Actual
245,2024-04-01,4,5,140405.23,98422.56,131798.72,101385.29,Actual
246,2024-04-01,5,1,141592.46,83095.42,128393.56,90880.42,Actual
247,2024-04-01,5,2,104993.55,77099.33,119127.41,76659.79,Actual
248,2024-04-01,5,3,52180.26,41516.53,57163.28,40721.96,Actual
249,2024-04-01,5,4,139920.33,109216.05,140477.82,111213.03,Actual
250,2024-04-01,5,5,36344.72,26313.49,31868.99,28797.16,Actual
251,2024-04-01,6,1,20445.78,13688.7,22653.61,13446.27,Actual
252,2024-04-01,6,2,143555.7,94108.66,126587.35,98374.9,Actual
253,2024-04-01,6,3,29962.21,21087.71,28350.79,24239.08,Actual
254,2024-04-01,6,4,131329.17,80768.98,137538.77,74647.98,Actual
255,2024-04-01,6,5,120025.45,90971.61,115696.74,94126.1,Actual
256,2024-04-01,7,1,125791.98,100149.86,107018.58,96087.26,Actual
257,2024-04-01,7,2,30984.14,15984.96,35146.76,18171.87,Actual
258,2024-04-01,7,3,31579.72,17395.02,34991.99,17454.19,Actual
259,2024-04-01,7,4,39414.96,30772.94,38353.07,30244.26,Actual
260,2024-04-01,7,5,35715.1,22165.55,31908.79,20262.86,Actual
261,2024-04-01,8,1,53991.14,39166.79,60430.92,36623.79,Actual
262,2024-04-01,8,2,91954.9,63628.47,103892.38,61568.54,Actual
263,2024-04-01,8,3,76204.93,55960.87,79620.2,57469.31,Actual
264,2024-04-01,8,4,28624.74,16401.65,28548.99,16251.16,Actual
265,2024-04-01,8,5,37636.63,26932.39,35667.49,29250.48,Actual
266,2024-04-01,9,1,115434.61,69691.91,126732.09,76058.79,Actual
267,2024-04-01,9,2,20565.65,11945.47,20915.17,11799.73,Actual
268,2024-04-01,9,3,121224.79,71837.37,136301.99,76512.09,Actual
269,2024-04-01,9,4,25691.72,18672.26,25669.78,18188.66,Actual
270,2024-04-01,9,5,27836.4,19069.67,30149.54,20155.65,Actual
271,2024-04-01,10,1,54324.86,38598.68,59377.22,34991.75,Actual
272,2024-04-01,10,2,115667.52,78131.23,103458.36,74202.53,Actual
273,2024-04-01,10,3,108141.03,67338.54,119764.47,65338.48,Actual
274,2024-04-01,10,4,58802.45,41238.42,57453.72,37343.23,Actual
275,2024-04-01,10,5,45216.11,27698.51,47117.4,25452.52,Actual
276,2024-04-01,11,1,131165.1,101935.33,137810.12,104735.36,Actual
277,2024-04-01,11,2,52723.3,33432.09,46047.61,38214.77,Actual
278,2024-04-01,11,3,147037.18,107648.96,136566.23,92498.02,Actual
279,2024-04-01,11,4,80874.76,62276.24,91892.91,59049.29,Actual
280,2024-04-01,11,5,85049.33,49282.66,79049.51,43720.01,Actual
281,2024-04-01,12,1,60501.09,31960.53,66163.85,30283.22,Actual
282,2024-04-01,12,2,25871.39,17075.23,25686.27,17421.72,Actual
283,2024-04-01,12,3,88453.93,48744.54,75983.37,43182.63,Actual
284,2024-04-01,12,4,91389.68,48610.51,87565.0,52537.96,Actual
285,2024-04-01,12,5,143082.96,99541.51,125688.99,105088.31,Actual
286,2024-04-01,13,1,125037.18,91315.61,108366.55,100447.32,Actual
287,2024-04-01,13,2,94658.57,62363.19,100767.08,56203.53,Actual
288,2024-04-01,13,3,103168.52,79080.15,117270.32,79190.71,Actual
289,2024-04-01,13,4,119016.22,70207.44,125514.71,65259.13,Actual
290,2024-04-01,13,5,131907.59,90073.13,148878.79,84542.96,Actual
291,2024-04-01,14,1,82777.3,51440.92,92747.72,53646.57,Actual
292,2024-04-01,14,2,105308.33,80848.73,98883.35,76766.5,Actual
293,2024-04-01,14,3,63140.34,43184.09,72545.61,40630.51,Actual
294,2024-04-01,14,4,26866.45,17019.42,23582.31,15190.86,Actual
295,2024-04-01,14,5,29586.33,22260.3,32175.46,22971.85,Actual
296,2024-04-01,15,1,43036.82,25229.09,37099.08,22498.52,Actual
297,2024-04-01,15,2,51151.33,40148.86,56452.66,38347.1,Actual
298,2024-04-01,15,3,122816.74,66502.77,138485.09,76475.59,Actual
299,2024-04-01,15,4,115013.01,62560.98,108130.87,55068.77,Actual
300,2024-04-01,15,5,41748.63,32449.39,40208.79,34480.08,Actual
301,2024-05-01,1,1,69334.54,52635.24,75939.88,45128.29,Actual
302,2024-05-01,1,2,91831.1,46211.69,87846.58,46773.02,Actual
303,2024-05-01,1,3,125498.78,86106.96,116137.4,85389.37,Actual
304,2024-05-01,1,4,126659.51,80923.78,129514.28,90572.29,Actual
305,2024-05-01,1,5,138116.04,102462.49,133911.65,111302.18,Actual
306,2024-05-01,2,1,39619.72,21778.51,40457.75,21824.53,Actual
307,2024-05-01,2,2,87947.73,64673.29,96955.3,74074.0,Actual
308,2024-05-01,2,3,82452.43,46694.08,80127.5,44688.92,Actual
309,2024-05-01,2,4,85182.55,44231.35,96732.45,39885.85,Actual
310,2024-05-01,2,5,91454.3,71084.36,94729.16,80140.07,Actual
311,2024-05-01,3,1,74278.24,50436.3,83869.79,48262.12,Actual
312,2024-05-01,3,2,147488.67,76275.68,151550.96,69738.05,Actual
313,2024-05-01,3,3,112060.48,65910.41,115481.05,65524.01,Actual
314,2024-05-01,3,4,58450.54,46049.14,65784.51,49018.08,Actual
315,2024-05-01,3,5,113617.78,56876.23,101158.71,64957.18,Actual
316,2024-05-01,4,1,122592.7,63838.85,108290.28,70569.6,Actual
317,2024-05-01,4,2,56695.44,34021.34,57305.99,35238.17,Actual
318,2024-05-01,4,3,101227.09,51521.05,102406.03,55903.2,Actual
319,2024-05-01,4,4,103595.93,73670.9,115187.38,79900.59,Actual
320,2024-05-01,4,5,93064.16,61010.87,101461.29,65988.86,Actual
321,2024-05-01,5,1,47697.27,37238.93,42798.89,38873.4,Actual
322,2024-05-01,5,2,49992.71,39321.24,45947.55,38806.27,Actual
323,2024-05-01,5,3,117155.46,79485.94,105286.83,75989.76,Actual
324,2024-05-01,5,4,109213.79,83848.95,104337.19,85832.22,Actual
325,2024-05-01,5,5,81244.81,48710.2,72415.46,49646.81,Actual
326,2024-05-01,6,1,28095.43,21418.37,24466.95,21447.71,Actual
327,2024-05-01,6,2,148999.95,96305.21,142780.22,96416.95,Actual
328,2024-05-01,6,3,30840.44,20845.8,28853.67,22484.92,Actual
329,2024-05-01,6,4,63293.63,39938.46,58164.82,44376.26,Actual
330,2024-05-01,6,5,86958.57,66959.83,89264.95,73399.83,Actual
331,2024-05-01,7,1,43761.81,26434.24,45276.65,29309.37,Actual
332,2024-05-01,7,2,115192.37,59385.64,101532.11,59326.52,Actual
333,2024-05-01,7,3,101685.43,58548.83,97966.02,53024.23,Actual
334,2024-05-01,7,4,41720.64,32365.39,47959.45,28847.53,Actual
335,2024-05-01,7,5,27492.21,21898.16,25812.7,21648.53,Actual
336,2024-05-01,8,1,138157.35,109267.81,149195.35,97457.45,Actual
337,2024-05-01,8,2,26735.88,16657.16,29858.79,16602.48,Actual
338,2024-05-01,8,3,125069.53,79757.17,143019.09,78455.3,Actual
339,2024-05-01,8,4,61895.99,45983.36,65249.58,52814.41,Actual
340,2024-05-01,8,5,66272.38,44128.63,75572.69,40285.38,Actual
341,2024-05-01,9,1,68908.25,38403.57,77511.13,43281.89,Actual
342,2024-05-01,9,2,74081.48,47096.35,73047.83,48949.17,Actual
343,2024-05-01,9,3,86106.54,47744.95,78248.42,48335.3,Actual
344,2024-05-01,9,4,39936.95,26381.84,37725.41,23525.9,Actual
345,2024-05-01,9,5,32892.46,17255.32,31636.98,16897.57,Actual
346,2024-05-01,10,1,97576.7,50412.01,86732.96,49000.49,Actual
347,2024-05-01,10,2,93381.63,68857.24,97639.95,70288.09,Actual
348,2024-05-01,10,3,28910.48,19371.09,31349.33,20724.19,Actual
349,2024-05-01,10,4,54118.9,41087.52,55769.28,41551.98,Actual
350,2024-05-01,10,5,131067.96,68988.02,124151.87,75234.26,Actual
351,2024-05-01,11,1,50721.99,33642.97,45081.93,33485.91,Actual
352,2024-05-01,11,2,44643.16,33618.98,43764.08,34790.7,Actual
353,2024-05-01,11,3,93845.08,65852.21,91325.03,57548.16,Actual
354,2024-05-01,11,4,86592.26,52157.1,99265.27,58715.18,Actual
355,2024-05-01,11,5,38753.89,22447.8,33827.52,23706.14,Actual
356,2024-05-01,12,1,70196.28,49841.57,76936.05,48291.76,Actual
357,2024-05-01,12,2,87749.02,57467.81,80461.9,51838.87,Actual
358,2024-05-01,12,3,53431.33,34140.23,50198.25,34997.02,Actual
359,2024-05-01,12,4,103292.33,71137.95,93466.31,64155.48,Actual
360,2024-05-01,12,5,132818.24,81752.93,137697.04,88049.98,Actual
361,2024-05-01,13,1,52077.05,34573.86,52048.36,33123.2,Actual
362,2024-05-01,13,2,98229.8,71265.98,84517.73,65320.47,Actual
363,2024-05-01,13,3,130121.45,90691.85,137664.33,98129.7,Actual
364,2024-05-01,13,4,66540.34,35633.03,56841.77,34491.73,Actual
365,2024-05-01,13,5,29457.29,16828.22,30097.44,15749.81,Actual
366,2024-05-01,14,1,108757.24,73244.31,118794.62,69028.11,Actual
367,2024-05-01,14,2,51886.3,25968.64,46857.5,28683.42,Actual
368,2024-05-01,14,3,138700.16,88549.96,123548.58,100635.97,Actual
369,2024-05-01,14,4,120237.9,63649.53,125433.09,67821.67,Actual
370,2024-05-01,14,5,88513.14,48571.18,96018.59,44376.9,Actual
371,2024-05-01,15,1,112026.01,84726.7,118952.8,82022.3,Actual
372,2024-05-01,15,2,28270.9,22259.13,24297.12,21094.72,Actual
373,2024-05-01,15,3,95347.17,68627.69,93763.98,64499.94,Actual
374,2024-05-01,15,4,70489.44,54806.05,80175.87,48770.96,Actual
375,2024-05-01,15,5,102213.54,55941.39,97484.51,56293.68,Actual
